,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
69636,2021,LA,Louisiana,Ouachita,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.1,,,3.6,4.6,158768,22073,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-92.1515814 32.480932)
70412,2021,LA,Louisiana,Jackson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.7,,,4.2,5.3,14876,22049,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-92.5616997 32.3042901)
71942,2021,LA,Louisiana,Jefferson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.2,,,31.3,41.3,433688,22051,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-90.036231 29.5033)
71949,2021,LA,Louisiana,Union,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,18.3,,,15.8,20.8,21091,22111,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-92.3756501 32.8293486)
71954,2021,LA,Louisiana,Calcasieu,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.0,,,8.8,11.4,205282,22019,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-93.3580154 30.2295588)
71957,2021,LA,Louisiana,St. Bernard,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,3.0,3.6,44258,22087,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-89.2634941 29.9181102)
71962,2020,LA,Louisiana,East Feliciana,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,55.3,,,52.2,58.5,19338,22037,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-91.0434338 30.8397837)
71965,2021,LA,Louisiana,Jackson,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,5.8,,,5.1,6.6,14876,22049,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-92.5616997 32.3042901)
71973,2020,LA,Louisiana,St. Charles,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,40.0,,,33.6,47.2,52282,22089,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-90.3578553 29.9057222)
71975,2021,LA,Louisiana,Caddo,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.8,,,6.9,8.8,233092,22017,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-93.8849698 32.5801062)
71978,2020,LA,Louisiana,St. Charles,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,78.7,,,75.5,81.9,52282,22089,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-90.3578553 29.9057222)
71979,2020,LA,Louisiana,Madison,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,43.5,,,41.9,45.0,9799,22065,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-91.2319321 32.3468782)
